"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0002237","response to molecule of bacterial origin","9/48","375/18860",0.024,9.43,8.32905912393334,3.73246245838374e-07,6.63272432869359e-05,3.69676670706606e-05,"SNCA/CD14/NQO1/SERPINE1/FOS/JAK2/EDNRB/CASP1/RIPK2",9
"BP","GO:0050673","epithelial cell proliferation","10/48","496/18860",0.0201612903225806,7.92170698924731,7.89101503452952,3.85623507482185e-07,6.63272432869359e-05,3.69676670706606e-05,"STAT3/ALOX5/CDKN1A/FGF1/EDNRB/HIF1A/MAP2K1/BCL2L1/CCND1/ACVRL1",10
"BP","GO:0070555","response to interleukin-1","6/48","123/18860",0.0487804878048781,19.1666666666667,10.2103408143561,6.67585423061092e-07,0.000107169713248741,5.97313273265188e-05,"SNCA/CD38/HIF1A/GHR/CASP1/RIPK2",6
"BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","7/48","201/18860",0.0348258706467662,13.6836650082919,9.13189845359527,7.15348844273884e-07,0.00010766000106322,6.00045905558686e-05,"FGF1/PLA2G2A/CCR1/PDE8B/NAMPT/MAP2K1/RIPK2",7
"BP","GO:0070372","regulation of ERK1 and ERK2 cascade","8/48","303/18860",0.0264026402640264,10.3740374037404,8.30914956523895,8.73856323894176e-07,0.000123779178113952,6.89886571495402e-05,"FGF1/PLA2G2A/CCR1/PDE8B/NAMPT/MAP2K1/PTPN1/RIPK2",8
"BP","GO:0060396","growth hormone receptor signaling pathway","4/48","30/18860",0.133333333333333,52.3888888888889,14.2287634339684,9.63875485513522e-07,0.000128945120506476,7.18679090075872e-05,"STAT3/JAK2/GHR/PTPN1",4
"BP","GO:0071378","cellular response to growth hormone stimulus","4/48","31/18860",0.129032258064516,50.6989247311828,13.988678072872,1.10460778428903e-06,0.000139994502345683,7.80263116326044e-05,"STAT3/JAK2/GHR/PTPN1",4
"BP","GO:0009154","purine ribonucleotide catabolic process","6/48","137/18860",0.0437956204379562,17.2080291970803,9.6175674145869,1.25701879354784e-06,0.00015134506274316,8.43525769354473e-05,"STAT3/PDE5A/PNP/PDE8B/HIF1A/LDHA",6
"BP","GO:0009261","ribonucleotide catabolic process","6/48","144/18860",0.0416666666666667,16.3715277777778,9.3530708877442,1.68171600704788e-06,0.000183317479223193,0.0001021724890757,"STAT3/PDE5A/PNP/PDE8B/HIF1A/LDHA",6
"BP","GO:0070371","ERK1 and ERK2 cascade","8/48","331/18860",0.0241691842900302,9.49647532729104,7.87751557931678,1.69377407354543e-06,0.000183317479223193,0.0001021724890757,"FGF1/PLA2G2A/CCR1/PDE8B/NAMPT/MAP2K1/PTPN1/RIPK2",8
"BP","GO:0006195","purine nucleotide catabolic process","6/48","145/18860",0.0413793103448276,16.2586206896552,9.3168011513653,1.75095598925807e-06,0.000183317479223193,0.0001021724890757,"STAT3/PDE5A/PNP/PDE8B/HIF1A/LDHA",6
"BP","GO:0006163","purine nucleotide metabolic process","9/48","454/18860",0.0198237885462555,7.78909691629956,7.39643917036972,1.82768813135996e-06,0.000183378042513116,0.000102206244187892,"STAT3/PDE5A/PNP/PDE8B/CD38/NAMPT/HIF1A/MAP2K1/LDHA",9
"BP","GO:0045859","regulation of protein kinase activity","7/48","234/18860",0.0299145299145299,11.7539173789174,8.36136705330109,1.97606159060924e-06,0.000190334252407482,0.000106083306443233,"CDKN1A/BLM/FGF1/JAK2/MAP2K1/PTPN1/PIM1",7
"BP","GO:0009314","response to radiation","9/48","462/18860",0.0194805194805195,7.65422077922078,7.31468032099403,2.10971858631888e-06,0.000195392398302149,0.000108902477633869,"CDKN1A/FOS/BLM/MME/MAPK10/PDE8B/HIF1A/BCL2L1/CCND1",9
"BP","GO:0071375","cellular response to peptide hormone stimulus","8/48","345/18860",0.0231884057971014,9.11111111111111,7.68051786966096,2.30533457072654e-06,0.000205601690604056,0.000114592654100442,"SOCS3/STAT3/FOS/PLA2G2A/JAK2/GHR/PTPN1/HDAC9",8
"BP","GO:0032946","positive regulation of mononuclear cell proliferation","6/48","155/18860",0.0387096774193548,15.2096774193548,8.97291751895985,2.58061005496765e-06,0.000221932464727218,0.000123694654890367,"CDKN1A/JAK2/PNP/CD38/BCL2L1/RIPK2",6
"BP","GO:0072523","purine-containing compound catabolic process","6/48","163/18860",0.0368098159509202,14.4631901840491,8.72003609999436,3.45401364045718e-06,0.000286802236076582,0.000159849996064715,"STAT3/PDE5A/PNP/PDE8B/HIF1A/LDHA",6
"BP","GO:0043549","regulation of kinase activity","7/48","256/18860",0.02734375,10.7438151041667,7.92881556084217,3.58191238857748e-06,0.000287508167723153,0.000160243448962677,"CDKN1A/BLM/FGF1/JAK2/MAP2K1/PTPN1/PIM1",7
"BP","GO:0032944","regulation of mononuclear cell proliferation","7/48","258/18860",0.0271317829457364,10.6605297157623,7.89211559337727,3.77045189012745e-06,0.000288801985634269,0.000160964561848091,"CDKN1A/PLA2G2A/JAK2/PNP/CD38/BCL2L1/RIPK2",7
"BP","GO:0098754","detoxification","6/48","166/18860",0.036144578313253,14.2018072289157,8.6297611498603,3.83790014131919e-06,0.000288801985634269,0.000160964561848091,"MGST1/ABCG2/NQO1/ALOX5AP/MT2A/PIM1",6
"BP","GO:0009166","nucleotide catabolic process","6/48","168/18860",0.0357142857142857,14.0327380952381,8.57086957514749,4.11260636442667e-06,0.000300095640167861,0.00016725911051496,"STAT3/PDE5A/PNP/PDE8B/HIF1A/LDHA",6
"BP","GO:1901136","carbohydrate derivative catabolic process","7/48","263/18860",0.026615969581749,10.4578580481622,7.8021030842421,4.278359848356e-06,0.000301790908859391,0.000168203973070346,"STAT3/PDE5A/PNP/PDE8B/ADAMTS4/HIF1A/LDHA",7
"BP","GO:0034599","cellular response to oxidative stress","7/48","264/18860",0.0265151515151515,10.4182449494949,7.78439096587397,4.3864957683051e-06,0.000301790908859391,0.000168203973070346,"MGST1/SNCA/ALOX5/NQO1/FOS/HIF1A/MET",7
"BP","GO:0060416","response to growth hormone","4/48","44/18860",0.0909090909090909,35.719696969697,11.6466513824365,4.6514252810725e-06,0.000302704032292286,0.000168712904866526,"STAT3/JAK2/GHR/PTPN1",4
"BP","GO:0070665","positive regulation of leukocyte proliferation","6/48","173/18860",0.0346820809248555,13.6271676300578,8.42794453060261,4.8700111258073e-06,0.000302704032292286,0.000168712904866526,"CDKN1A/JAK2/PNP/CD38/BCL2L1/RIPK2",6
"BP","GO:0002534","cytokine production involved in inflammatory response","5/48","98/18860",0.0510204081632653,20.046768707483,9.54898572170442,4.90259852965082e-06,0.000302704032292286,0.000168712904866526,"STAT3/ALOX5/CCR1/JAK2/HIF1A",5
"BP","GO:1900015","regulation of cytokine production involved in inflammatory response","5/48","98/18860",0.0510204081632653,20.046768707483,9.54898572170442,4.90259852965082e-06,0.000302704032292286,0.000168712904866526,"STAT3/ALOX5/CCR1/JAK2/HIF1A",5
"BP","GO:0001932","regulation of protein phosphorylation","8/48","387/18860",0.020671834625323,8.1223083548665,7.15105310975351,5.38315312813635e-06,0.000324065818313808,0.000180618953641417,"CDKN1A/BLM/FGF1/JAK2/MAP2K1/PTPN1/PIM1/RIPK2",8
"BP","GO:0070493","thrombin-activated receptor signaling pathway","3/48","15/18860",0.2,78.5833333333333,15.1837294766684,6.89001917317937e-06,0.000404662589488193,0.000225539780380069,"SNCA/SERPINE1/MET",3
"BP","GO:0070663","regulation of leukocyte proliferation","7/48","284/18860",0.0246478873239437,9.68456572769953,7.44892564423325,7.07913844364823e-06,0.000405870604102498,0.000226213070567707,"CDKN1A/PLA2G2A/JAK2/PNP/CD38/BCL2L1/RIPK2",7
"BP","GO:0072524","pyridine-containing compound metabolic process","6/48","186/18860",0.032258064516129,12.6747311827957,8.08252670588942,7.38275547418783e-06,0.000413434306554519,0.000230428720430587,"STAT3/PNP/CD38/NAMPT/HIF1A/LDHA",6
"BP","GO:0031571","mitotic G1 DNA damage checkpoint signaling","3/48","16/18860",0.1875,73.671875,14.6893396562451,8.46486028513049e-06,0.000459797213979845,0.00025626921132379,"CDKN1A/CCND1/CDK2",3
"BP","GO:1901292","nucleoside phosphate catabolic process","6/48","191/18860",0.031413612565445,12.3429319371728,7.95873319405499,8.59255590909178e-06,0.000459797213979845,0.00025626921132379,"STAT3/PDE5A/PNP/PDE8B/HIF1A/LDHA",6
"BP","GO:0044819","mitotic G1/S transition checkpoint signaling","3/48","17/18860",0.176470588235294,69.3382352941177,14.2388744375565,1.0260380681987e-05,0.000525680780472867,0.000292989593942518,"CDKN1A/CCND1/CDK2",3
"BP","GO:0090399","replicative senescence","3/48","17/18860",0.176470588235294,69.3382352941177,14.2388744375565,1.0260380681987e-05,0.000525680780472867,0.000292989593942518,"CDKN1A/SERPINE1/MME",3
"BP","GO:0051338","regulation of transferase activity","7/48","304/18860",0.0230263157894737,9.04742324561403,7.14519222480739,1.10254673952224e-05,0.000553110947660322,0.000308277871247993,"CDKN1A/BLM/FGF1/JAK2/MAP2K1/PTPN1/PIM1",7
"BP","GO:0042325","regulation of phosphorylation","8/48","431/18860",0.0185614849187935,7.29311678267595,6.67599503598677,1.18037420412938e-05,0.000580069608886438,0.000323303353440378,"CDKN1A/BLM/FGF1/JAK2/MAP2K1/PTPN1/PIM1/RIPK2",8
"BP","GO:0071900","regulation of protein serine/threonine kinase activity","5/48","119/18860",0.0420168067226891,16.5091036414566,8.57287048160562,1.26691113371156e-05,0.000610144401995486,0.000340065620101523,"BLM/FGF1/MAP2K1/PTPN1/PIM1",5
"BP","GO:1990748","cellular detoxification","5/48","120/18860",0.0416666666666667,16.3715277777778,8.53267743065959,1.31948487180212e-05,0.000623003837509708,0.000347232861000559,"MGST1/ABCG2/NQO1/ALOX5AP/PIM1",5
"BP","GO:0001666","response to hypoxia","7/48","317/18860",0.0220820189274448,8.67639327024185,6.96240547272339,1.44591526216607e-05,0.000669569990633827,0.000373186631429502,"STAT3/FOS/SLC2A1/CD38/HIF1A/MAP2K1/PTPN1",7
"BP","GO:0032943","mononuclear cell proliferation","7/48","319/18860",0.0219435736677116,8.62199582027168,6.93521508770722,1.50585692745604e-05,0.000684170468172478,0.000381324246773872,"CDKN1A/PLA2G2A/JAK2/PNP/CD38/BCL2L1/RIPK2",7
"BP","GO:0042060","wound healing","8/48","453/18860",0.0176600441501104,6.93892568064754,6.46290763660392,1.6910781066204e-05,0.000749069223131466,0.000417495742040837,"ALOX5/CDKN1A/SERPINE1/FGF1/JAK2/HIF1A/CASP1/ACVRL1",8
"BP","GO:0033194","response to hydroperoxide","3/48","20/18860",0.15,58.9375,13.0947365084117,1.71091392326539e-05,0.000749069223131466,0.000417495742040837,"MGST1/JAK2/CD38",3
"BP","GO:0045860","positive regulation of protein kinase activity","5/48","128/18860",0.0390625,15.3483072916667,8.22765444503103,1.80412037178087e-05,0.000775771759865774,0.000432378472560265,"CDKN1A/FGF1/JAK2/MAP2K1/PIM1",5
"BP","GO:0036293","response to decreased oxygen levels","7/48","330/18860",0.0212121212121212,8.33459595959596,6.78981465166094,1.87357452949737e-05,0.00079150306439117,0.000441146357360877,"STAT3/FOS/SLC2A1/CD38/HIF1A/MAP2K1/PTPN1",7
"BP","GO:0051384","response to glucocorticoid","5/48","133/18860",0.037593984962406,14.7713032581454,8.05061802210437,2.17097270940842e-05,0.00089188408014312,0.000497093985916453,"FOS/JAK2/MAP2K1/GHR/CCND1",5
"BP","GO:0042886","amide transport","7/48","338/18860",0.0207100591715976,8.13732741617357,6.68824993583763,2.18526414985233e-05,0.00089188408014312,0.000497093985916453,"MGST1/ABCG2/ALOX5/JAK2/PDE8B/CD38/HIF1A",7
"BP","GO:0097237","cellular response to toxic substance","5/48","134/18860",0.0373134328358209,14.6610696517413,8.01635717315342,2.2508391235897e-05,0.000903336768267334,0.000503477172381907,"MGST1/ABCG2/NQO1/ALOX5AP/PIM1",5
"BP","GO:0009416","response to light stimulus","7/48","341/18860",0.0205278592375367,8.06573802541544,6.65102252606346,2.31267483864049e-05,0.000912937870728901,0.000508828372608563,"CDKN1A/FOS/MME/MAPK10/PDE8B/HIF1A/CCND1",7
"BP","GO:0032731","positive regulation of interleukin-1 beta production","4/48","66/18860",0.0606060606060606,23.8131313131313,9.37798903723733,2.37021801699169e-05,0.000919268078429093,0.000512356530860768,"STAT3/JAK2/CASP1/RIPK2",4
"BP","GO:0071222","cellular response to lipopolysaccharide","6/48","229/18860",0.0262008733624454,10.2947598253275,7.14825924022608,2.40506183309937e-05,0.000919268078429093,0.000512356530860768,"CD14/SERPINE1/JAK2/EDNRB/CASP1/RIPK2",6
"BP","GO:0033674","positive regulation of kinase activity","5/48","137/18860",0.0364963503649635,14.3400243309002,7.91574236167925,2.50422988341976e-05,0.000935657700771363,0.000521491330863564,"CDKN1A/FGF1/JAK2/MAP2K1/PIM1",5
"BP","GO:0001934","positive regulation of protein phosphorylation","6/48","231/18860",0.025974025974026,10.2056277056277,7.11094123539545,2.52565409261373e-05,0.000935657700771363,0.000521491330863564,"CDKN1A/FGF1/JAK2/MAP2K1/PIM1/RIPK2",6
"BP","GO:1901654","response to ketone","6/48","232/18860",0.0258620689655172,10.1616379310345,7.09245299384139,2.58775160209914e-05,0.000944137251190109,0.000526217431048867,"FOS/JAK2/CD38/GHR/BCL2L1/CCND1",6
"BP","GO:0001991","regulation of systemic arterial blood pressure by circulatory renin-angiotensin","3/48","23/18860",0.130434782608696,51.25,12.1802605684134,2.64369388425588e-05,0.000950151473625099,0.000529569474065397,"MME/ANPEP/EDNRB",3
"BP","GO:0070661","leukocyte proliferation","7/48","356/18860",0.0196629213483146,7.72588951310861,6.47149145177514,3.04548054015663e-05,0.00106655457848922,0.000594447056991501,"CDKN1A/PLA2G2A/JAK2/PNP/CD38/BCL2L1/RIPK2",7
"BP","GO:0046632","alpha-beta T cell differentiation","5/48","143/18860",0.034965034965035,13.738344988345,7.72369950620509,3.07723935715455e-05,0.00106655457848922,0.000594447056991501,"SOCS3/STAT3/JAK2/PNP/RIPK2",5
"BP","GO:0070482","response to oxygen levels","7/48","357/18860",0.0196078431372549,7.70424836601307,6.45989698424771,3.10044935607332e-05,0.00106655457848922,0.000594447056991501,"STAT3/FOS/SLC2A1/CD38/HIF1A/MAP2K1/PTPN1",7
"BP","GO:0044773","mitotic DNA damage checkpoint signaling","4/48","71/18860",0.0563380281690141,22.1361502347418,9.01292365376487,3.16574964653029e-05,0.00107367959842886,0.000598418205978668,"CDKN1A/BLM/CCND1/CDK2",4
"BP","GO:0014856","skeletal muscle cell proliferation","3/48","25/18860",0.12,47.15,11.6632977110725,3.421109255032e-05,0.00114417098418292,0.000637706769030087,"STAT3/FOS/JAK2",3
"BP","GO:0009150","purine ribonucleotide metabolic process","7/48","364/18860",0.0192307692307692,7.55608974358974,6.37997735399572,3.50860358285635e-05,0.00115735855171481,0.000645056895189885,"STAT3/PDE5A/PNP/PDE8B/HIF1A/MAP2K1/LDHA",7
"BP","GO:0042445","hormone metabolic process","6/48","246/18860",0.024390243902439,9.58333333333333,6.84488476862739,3.59415275618972e-05,0.00116955673471687,0.000651855585226443,"MME/ANPEP/EDNRB/PDE8B/HIF1A/GHR",6
"BP","GO:0071219","cellular response to molecule of bacterial origin","6/48","247/18860",0.0242914979757085,9.54453441295547,6.82796293774979,3.67659330153864e-05,0.00118043155601401,0.000657916696064809,"CD14/SERPINE1/JAK2/EDNRB/CASP1/RIPK2",6
"BP","GO:0044774","mitotic DNA integrity checkpoint signaling","4/48","75/18860",0.0533333333333333,20.9555555555556,8.74684274816192,3.93072271291557e-05,0.00124541845956588,0.000694137321186613,"CDKN1A/BLM/CCND1/CDK2",4
"BP","GO:0046434","organophosphate catabolic process","6/48","253/18860",0.0237154150197628,9.31818181818182,6.72841785447372,4.20374800753008e-05,0.00125777487330445,0.000701024201548858,"STAT3/PDE5A/PNP/PDE8B/HIF1A/LDHA",6
"BP","GO:0050671","positive regulation of lymphocyte proliferation","5/48","153/18860",0.0326797385620915,12.8404139433551,7.42801875933153,4.25320234239536e-05,0.00125777487330445,0.000701024201548858,"CDKN1A/JAK2/PNP/CD38/RIPK2",5
"BP","GO:0042327","positive regulation of phosphorylation","6/48","254/18860",0.0236220472440945,9.28149606299213,6.71214938641655,4.29722260808526e-05,0.00125777487330445,0.000701024201548858,"CDKN1A/FGF1/JAK2/MAP2K1/PIM1/RIPK2",6
"BP","GO:0050670","regulation of lymphocyte proliferation","6/48","254/18860",0.0236220472440945,9.28149606299213,6.71214938641655,4.29722260808526e-05,0.00125777487330445,0.000701024201548858,"CDKN1A/PLA2G2A/JAK2/PNP/CD38/RIPK2",6
"BP","GO:0014829","vascular associated smooth muscle contraction","3/48","27/18860",0.111111111111111,43.6574074074074,11.2041534846057,4.33522583067231e-05,0.00125777487330445,0.000701024201548858,"EDNRB/CD38/MAP2K1",3
"BP","GO:0032732","positive regulation of interleukin-1 production","4/48","77/18860",0.051948051948052,20.4112554112554,8.62142334753261,4.36016069796088e-05,0.00125777487330445,0.000701024201548858,"STAT3/JAK2/CASP1/RIPK2",4
"BP","GO:0010506","regulation of autophagy","7/48","377/18860",0.0185676392572944,7.29553492484527,6.23705458365224,4.3840841544832e-05,0.00125777487330445,0.000701024201548858,"SNCA/STAT3/HIF1A/MAP2K1/BCL2L1/MET/RIPK2",7
"BP","GO:0031960","response to corticosteroid","5/48","154/18860",0.0324675324675325,12.7570346320346,7.39997336900719,4.38758676734109e-05,0.00125777487330445,0.000701024201548858,"FOS/JAK2/MAP2K1/GHR/CCND1",5
"BP","GO:0009259","ribonucleotide metabolic process","7/48","385/18860",0.0181818181818182,7.14393939393939,6.15244199855985,5.00691561205343e-05,0.00141842974044996,0.000790565622955804,"STAT3/PDE5A/PNP/PDE8B/HIF1A/MAP2K1/LDHA",7
"BP","GO:0071456","cellular response to hypoxia","5/48","159/18860",0.0314465408805031,12.3558700209644,7.26355156363216,5.10961533420554e-05,0.00143069229357755,0.000797400189854597,"STAT3/FOS/HIF1A/MAP2K1/PTPN1",5
"BP","GO:0009306","protein secretion","7/48","388/18860",0.0180412371134021,7.08870274914089,6.12133487901403,5.25844764871819e-05,0.001455441602082,0.000811194283377579,"ALOX5/JAK2/EDNRB/PDE8B/CD38/HIF1A/CASP1",7
"BP","GO:0070102","interleukin-6-mediated signaling pathway","3/48","29/18860",0.103448275862069,40.6465517241379,10.7927021417932,5.39636592043685e-05,0.00146721863159141,0.000817758242384614,"SOCS3/STAT3/JAK2",3
"BP","GO:0051347","positive regulation of transferase activity","5/48","161/18860",0.031055900621118,12.202380952381,7.21068541068226,5.42285956028386e-05,0.00146721863159141,0.000817758242384614,"CDKN1A/FGF1/JAK2/MAP2K1/PIM1",5
"BP","GO:0035592","establishment of protein localization to extracellular region","7/48","391/18860",0.0179028132992327,7.0343137254902,6.09055735703459,5.52026778490055e-05,0.0014769783140045,0.000823197827572888,"ALOX5/JAK2/EDNRB/PDE8B/CD38/HIF1A/CASP1",7
"BP","GO:0019693","ribose phosphate metabolic process","7/48","392/18860",0.0178571428571429,7.01636904761905,6.08037035258513,5.60988286858054e-05,0.0014844613129167,0.000827368497101237,"STAT3/PDE5A/PNP/PDE8B/HIF1A/MAP2K1/LDHA",7
"BP","GO:0090594","inflammatory response to wounding","3/48","30/18860",0.1,39.2916666666667,10.6023515641759,5.9852524062019e-05,0.00156657476023198,0.000873134647357829,"STAT3/ALOX5/HIF1A",3
"BP","GO:0071692","protein localization to extracellular region","7/48","398/18860",0.0175879396984925,6.910594639866,6.01999044905628,6.17301219165486e-05,0.00159834552231235,0.000890842166877187,"ALOX5/JAK2/EDNRB/PDE8B/CD38/HIF1A/CASP1",7
"BP","GO:0036294","cellular response to decreased oxygen levels","5/48","167/18860",0.029940119760479,11.7639720558882,7.05754666028142,6.45239031318594e-05,0.00163551114464755,0.000911556526239565,"STAT3/FOS/HIF1A/MAP2K1/PTPN1",5
"BP","GO:0062013","positive regulation of small molecule metabolic process","5/48","167/18860",0.029940119760479,11.7639720558882,7.05754666028142,6.45239031318594e-05,0.00163551114464755,0.000911556526239565,"SNCA/STAT3/FGF1/HIF1A/MAP2K1",5
"BP","GO:0071216","cellular response to biotic stimulus","6/48","274/18860",0.0218978102189781,8.60401459854015,6.40453673310507,6.54591074024901e-05,0.00164193261067913,0.000915135547567706,"CD14/SERPINE1/JAK2/EDNRB/CASP1/RIPK2",6
"BP","GO:2001233","regulation of apoptotic signaling pathway","7/48","406/18860",0.0172413793103448,6.77442528735632,5.94140269849176,6.99519839683071e-05,0.00172965291540032,0.000964026694848492,"CTSC/SERPINE1/JAK2/HIF1A/MAP2K1/BCL2L1/PTPN1",7
"BP","GO:0014855","striated muscle cell proliferation","4/48","87/18860",0.0459770114942529,18.0651340996169,8.05869938471921,7.03928512081526e-05,0.00172965291540032,0.000964026694848492,"STAT3/FOS/JAK2/PIM1",4
"BP","GO:0010039","response to iron ion","3/48","32/18860",0.09375,36.8359375,10.2483542425909,7.28593804792103e-05,0.00175906158350698,0.000980417694951653,"SNCA/HIF1A/CCND1",3
"BP","GO:0032868","response to insulin","6/48","280/18860",0.0214285714285714,8.41964285714286,6.31832012069195,7.37812375142048e-05,0.00175906158350698,0.000980417694951653,"SOCS3/FOS/SLC2A1/GHR/PTPN1/HDAC9",6
"BP","GO:0097305","response to alcohol","6/48","280/18860",0.0214285714285714,8.41964285714286,6.31832012069195,7.37812375142048e-05,0.00175906158350698,0.000980417694951653,"STAT3/FOS/BLM/GHR/BCL2L1/CCND1",6
"BP","GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin","3/48","33/18860",0.0909090909090909,35.719696969697,10.0833489893596,8.00022004333234e-05,0.00187862096842349,0.00104705443903652,"MME/ANPEP/EDNRB",3
"BP","GO:0042093","T-helper cell differentiation","4/48","90/18860",0.0444444444444444,17.462962962963,7.90787113381436,8.03562955762538e-05,0.00187862096842349,0.00104705443903652,"SOCS3/STAT3/JAK2/RIPK2",4
"BP","GO:0050678","regulation of epithelial cell proliferation","7/48","416/18860",0.0168269230769231,6.61157852564103,5.84610507712978,8.14700911251356e-05,0.00188634595605122,0.00105135998162498,"STAT3/ALOX5/FGF1/EDNRB/HIF1A/CCND1/ACVRL1",7
"BP","GO:0150076","neuroinflammatory response","4/48","91/18860",0.043956043956044,17.2710622710623,7.85920288265131,8.38944150701094e-05,0.00192397858560784,0.00107233462871568,"SNCA/CTSC/CCR1/JAK2",4
"BP","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","4/48","92/18860",0.0434782608695652,17.0833333333333,7.81130225830655,8.75445751288513e-05,0.00198874846141768,0.00110843429284295,"SOCS3/STAT3/JAK2/RIPK2",4
"BP","GO:0046496","nicotinamide nucleotide metabolic process","5/48","179/18860",0.0279329608938547,10.9753258845438,6.77354486551686,8.95948446784803e-05,0.00199763320357204,0.00111338622772965,"STAT3/CD38/NAMPT/HIF1A/LDHA",5
"BP","GO:0050796","regulation of insulin secretion","5/48","179/18860",0.0279329608938547,10.9753258845438,6.77354486551686,8.95948446784803e-05,0.00199763320357204,0.00111338622772965,"ALOX5/JAK2/PDE8B/CD38/HIF1A",5
"BP","GO:0002287","alpha-beta T cell activation involved in immune response","4/48","93/18860",0.043010752688172,16.8996415770609,7.76414871658013,9.13089283421078e-05,0.00199883544952541,0.00111405630273864,"SOCS3/STAT3/JAK2/RIPK2",4
"BP","GO:0002293","alpha-beta T cell differentiation involved in immune response","4/48","93/18860",0.043010752688172,16.8996415770609,7.76414871658013,9.13089283421078e-05,0.00199883544952541,0.00111405630273864,"SOCS3/STAT3/JAK2/RIPK2",4
"BP","GO:0015833","peptide transport","6/48","292/18860",0.0205479452054795,8.0736301369863,6.15337912351281,9.29592963116724e-05,0.00201663050016673,0.00112397442197612,"MGST1/ALOX5/JAK2/PDE8B/CD38/HIF1A",6
"BP","GO:0043524","negative regulation of neuron apoptotic process","5/48","181/18860",0.0276243093922652,10.8540515653775,6.72883332521524,9.44135738524212e-05,0.00202989183782706,0.00113136566411501,"SNCA/JAK2/HIF1A/BCL2L1/CCND1",5
